Id,Label,uid,lname,Component ID,Eigenvector Centrality,Degree,Clustering Coefficient,Number of triangles,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank
1424,Fred,cCmnUMwDUezYXoxCRDrsxA,v.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1425,Alina,nZ6OGzoZVyChxbeTcD1Rqw,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1426,,,,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1427,Shaun,2PYxmh4hYRo6Mfc1WniqIw,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1428,Shiho,2l0O1EI1m0yWjFo2zSt71w,F.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1429,Ryan,NeXaKJFaUAoCoeFaGbVk4Q,J.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1430,Hungry,YUxH_F9jMGAe7PIe8DO34Q,A.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1432,Jessica,IZRNjWe_RzdN0HcCnPTymw,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1433,Ashley,116AVKourTNRaX_b_2ar_Q,A.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1434,Johnson,eK6FpEPv2urKpEjWwR45QQ,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1435,Jake,EyLVCFOKltmlMg7XcRxU9Q,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1436,Daniel,Wn1UHPW4LEp4Q1m7LmrCNQ,R.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1438,Camille,lKPUyA6DveoWk-3zFrHA9w,H.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1439,Heather,Mq8Su0PZC8D4EaJrLJOhYw,Z.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1440,Jennifer,EtqYOEpvnp9G7pkCNEwV_Q,A.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1441,Kate,_y54HcEDbKSnFo8QZcKvqA,N.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1444,Jermaine,pS45nFZf4r7_yC95Oxt_eA,W.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1445,rpm,PFrkq7xTQYSL1LKElc58Gw,r.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1447,Grant,ycYaA6wmFE30T4ba14N0Tw,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1448,Christina,BALguVHNa5NoNuusiDaO_Q,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1449,Jasmine,bhJ6ivAuSpgXP4JiKWjSZQ,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1451,Heather,Rzf35jKV8e8EJdssrae_AA,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1452,Nyomi,BSJDp9-kCmV4tVtYMJyhGw,L.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1453,Anna,jyz8-hAPGRjurBVp9DST9A,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1455,Lee,g1P3KlkiA3MUwt4Pvm0SXA,H.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1456,Anne,4fNHV9nkjf84BmmKiP1Npw,P.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1457,Philippos,VxaNYhSruuFLfbTPs99ITg,S.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1458,Bacon,pKn_H1nkgrwJS6TuHODsvQ,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1459,Jennifer,sYauKfRBquRxDwHA1a8EsA,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1460,TACO,x8vCnMf1yPzv5TccQJP8kw,d.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1461,Tarek,#NAME?,S.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1462,Beth,tScgzC_Zt3-5rViXNLWacQ,S.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1464,Raegen,RQc1sODOsSL98gRaRUnuYA,S.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1465,Chuck,kGGapvfP1SZH2ZOikdSpNA,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1466,Tk,sMmHXkNWQo8pk3z6lMuz3g,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1467,Peter,Xyrjofb86Xp1sfpp4_SlaQ,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1468,Barrie,bVzuq_2Fy0g2557E8GCO4A,T.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1469,Tony,msI83aUzmoHOQoPD-XnB0A,F.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1470,Cliff,FxPU00s1t02gsSgNm57gyA,Z.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
