Source,Target,Type,Id,Label,Weight
Gord_Burtch_510235429,Kartik_Ganju_502504522,Undirected,286,,1
Gord_Burtch_510235429,Sam_Seongmin_Jeon_1010864696,Undirected,721,,1
Gord_Burtch_510235429,Anitesh_Barua_1028080850,Undirected,766,,1
Gord_Burtch_510235429,Kevin_Yili_Hong_1050352559,Undirected,792,,1
Gord_Burtch_510235429,Fujie_Jin_1112762401,Undirected,838,,1
Gord_Burtch_510235429,Ying_Liu_1323164476,Undirected,928,,1
Gord_Burtch_510235429,Gwanhoo_Lee_1559589897,Undirected,1109,,1
Gord_Burtch_510235429,Keongtae_Kim_1677111618,Undirected,1129,,1
Gord_Burtch_510235429,Sang_Pil_Han_100000527304942,Undirected,1301,,1
Gord_Burtch_510235429,Jay_JaeHwuen_Jung_100000817127088,Undirected,1343,,1
Gord_Burtch_510235429,Sungyong_Um_100001029973935,Undirected,1485,,1
Gord_Burtch_510235429,Jungpil_Hahn_100001441813805,Undirected,1717,,1
Gord_Burtch_510235429,Wenjuan_Yuan_100002798135050,Undirected,2450,,1
Gord_Burtch_510235429,Byungjoon_Yoo_100003837286675,Undirected,2676,,1
Gord_Burtch_510235429,Alvin_Zheng_100006568625465,Undirected,2726,,1
Kitty_L_510810710,Sally_G_21010151,Undirected,162,,1
Kitty_L_510810710,Muzi_Guo_21012401,Undirected,182,,1
Kitty_L_510810710,Paul_Shin_48914321,Undirected,227,,1
Kitty_L_510810710,William_Judge_218600487,Undirected,261,,1
Kitty_L_510810710,Julien_Kervizic_500985020,Undirected,271,,1
Kitty_L_510810710,Daniela_Sh_506567418,Undirected,297,,1
Kitty_L_510810710,Grace_Ga-Eun_Oh_1339907315,Undirected,943,,1
Itzel_Ram????rez_M._511465260,Karim_Traboulsi_13621246,Undirected,126,,1
Itzel_Ram????rez_M._511465260,Vicente_Bustamante_14902317,Undirected,144,,1
Itzel_Ram????rez_M._511465260,Sally_G_21010151,Undirected,163,,1
Itzel_Ram????rez_M._511465260,Muzi_Guo_21012401,Undirected,183,,1
Itzel_Ram????rez_M._511465260,Florian_Striebich_36800961,Undirected,216,,1
Itzel_Ram????rez_M._511465260,Laura_Buhler_120601075,Undirected,246,,1
Itzel_Ram????rez_M._511465260,William_Judge_218600487,Undirected,262,,1
Itzel_Ram????rez_M._511465260,Daniela_Sh_506567418,Undirected,298,,1
Itzel_Ram????rez_M._511465260,Daisy_Kong_507788438,Undirected,313,,1
Itzel_Ram????rez_M._511465260,Rab_Freiha_509987108,Undirected,318,,1
Itzel_Ram????rez_M._511465260,Kitty_L_510810710,Undirected,346,,1
Jerry_Jisang_Han_511886676,Yoo-Hwan_Kim_1026491885,Undirected,748,,1
Jerry_Jisang_Han_511886676,Grace_Ga-Eun_Oh_1339907315,Undirected,944,,1
Jerry_Jisang_Han_511886676,Gayoung_Kim_100001466116182,Undirected,1765,,1
Jerry_Jisang_Han_511886676,Seil__Kim_100002392243776,Undirected,2279,,1
Soohwang_Chun_515441113,Paul_Shin_48914321,Undirected,228,,1
Chen_Xi_Catherine_517314461,Karim_Traboulsi_13621246,Undirected,127,,1
Chen_Xi_Catherine_517314461,Sally_G_21010151,Undirected,164,,1
Chen_Xi_Catherine_517314461,Muzi_Guo_21012401,Undirected,184,,1
Joseph_M._Allegra_521180775,Gord_Burtch_510235429,Undirected,336,,1
Joseph_M._Allegra_521180775,Kevin_Yili_Hong_1050352559,Undirected,793,,1
Joseph_M._Allegra_521180775,Wenjuan_Yuan_100002798135050,Undirected,2451,,1
Joseph_M._Allegra_521180775,Alvin_Zheng_100006568625465,Undirected,2727,,1
Michael_Schuster_527059194,Sagar_Bhadra_10503828,Undirected,106,,1
Michael_Schuster_527059194,Karim_Traboulsi_13621246,Undirected,128,,1
Michael_Schuster_527059194,Sally_G_21010151,Undirected,165,,1
Michael_Schuster_527059194,Muzi_Guo_21012401,Undirected,185,,1
Michael_Schuster_527059194,Jennifer_Law_21014079,Undirected,201,,1
Michael_Schuster_527059194,Laura_Buhler_120601075,Undirected,247,,1
Michael_Schuster_527059194,William_Judge_218600487,Undirected,263,,1
Michael_Schuster_527059194,Daniela_Sh_506567418,Undirected,299,,1
Michael_Schuster_527059194,Rab_Freiha_509987108,Undirected,319,,1
Michael_Schuster_527059194,Itzel_Ram????rez_M._511465260,Undirected,354,,1
Michael_Schuster_527059194,Vaclav_Sedlacek_1078584864,Undirected,827,,1
Michael_Schuster_527059194,Tatiana_Sokolova_1382349424,Undirected,982,,1
Samer_Faraj_528046846,Gord_Burtch_510235429,Undirected,337,,1
Samer_Faraj_528046846,Anitesh_Barua_1028080850,Undirected,767,,1
Samer_Faraj_528046846,Kevin_Yili_Hong_1050352559,Undirected,794,,1
Samer_Faraj_528046846,Gwanhoo_Lee_1559589897,Undirected,1110,,1
Samer_Faraj_528046846,Dongwon_Lee_100000872817953,Undirected,1389,,1
Samer_Faraj_528046846,Jungpil_Hahn_100001441813805,Undirected,1718,,1
Samer_Faraj_528046846,Yong_Jin_Kim_100001724755903,Undirected,1983,,1
Sehwan_Oh_530523106,Sam_Seongmin_Jeon_1010864696,Undirected,722,,1
Sehwan_Oh_530523106,JeongHo_Kim_1206565488,Undirected,883,,1
Sehwan_Oh_530523106,Samim_Azad_1292476551,Undirected,917,,1
Sehwan_Oh_530523106,Namwon_Kim_1383617851,Undirected,990,,1
Sehwan_Oh_530523106,Charles_Kim_1679880065,Undirected,1137,,1
Sehwan_Oh_530523106,Hyunmi_Baek_100000138402894,Undirected,1214,,1
Sehwan_Oh_530523106,Jioh_Kim_100000189358339,Undirected,1238,,1
Sehwan_Oh_530523106,Jaehong_Lee_100000270663298,Undirected,1255,,1
Sehwan_Oh_530523106,Youngseok_Choi_100000669697706,Undirected,1330,,1
Sehwan_Oh_530523106,Junhyuk_Lee_100001568460556,Undirected,1809,,1
Sehwan_Oh_530523106,Eunho_Park_100001639266686,Undirected,1876,,1
